UID,NAME,DATE,CHECKIN,CHECKOUT,INTERVAL
"111111","Jorge","2026-03-02","5:37","9:0","3.4" 
"111111","Jorge","2026-03-03","7:42","12:4","4.4" 
"111111","Jorge","2026-03-03","14:3","16:24","2.4" 
"111111","Jorge","2026-03-05","7:51","12:1","4.2" 
"111111","Jorge","2026-03-05","13:59","18:0","4.0" 
"111111","Jorge","2026-03-06","8:0","12:3","4.0" 
"111111","Jorge","2026-03-06","13:51","18:35","4.7" 
"222222","Lola","2026-03-02","9:1","16:57","7.9" 
"222222","Lola","2026-03-03","8:46","16:30","7.7" 
"222222","Lola","2026-03-04","8:54","16:13","7.3" 
"222222","Lola","2026-03-05","8:21","16:36","8.3" 
